id, title, author, year, genre
"1","10-Day Green Smoothie Cleanse","JJ Smith","2016.0","Non Fiction"
"2","11/22/63: A Novel","Stephen King","2011.0","Fiction"
"3","12 Rules for Life: An Antidote to Chaos","Jordan B. Peterson","2018.0","Non Fiction"
"4","1984 (Signet Classics)","George Orwell","2017.0","Fiction"
"5","5,000 Awesome Facts (About Everything!) (National Geographic Kids)","National Geographic Kids","2019.0","Non Fiction"
"6","A Dance with Dragons (A Song of Ice and Fire)","George R. R. Martin","2011.0","Fiction"
"7","A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons","George R. R. Martin","2014.0","Fiction"
"8","A Gentleman in Moscow: A Novel","Amor Towles","2017.0","Fiction"
"9","A Higher Loyalty: Truth, Lies, and Leadership","James Comey","2018.0","Non Fiction"
"10","A Man Called Ove: A Novel","Fredrik Backman","2016.0","Fiction"
"11","A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror","Larry Schweikart","2010.0","Non Fiction"
"12","A Stolen Life: A Memoir","Jaycee Dugard","2011.0","Non Fiction"
"13","A Wrinkle in Time (Time Quintet)","Madeleine L'Engle","2018.0","Fiction"
"14","Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment","Steve Harvey","2009.0","Non Fiction"
"15","Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns","Adult Coloring Book Designs","2016.0","Non Fiction"
"16","Adult Coloring Book: Stress Relieving Animal Designs","Blue Star Coloring","2015.0","Non Fiction"
"17","Adult Coloring Book: Stress Relieving Patterns","Blue Star Coloring","2015.0","Non Fiction"
"18","Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…","Coloring Books for Adults","2015.0","Non Fiction"
"19","Alexander Hamilton","Ron Chernow","2016.0","Non Fiction"
"20","All the Light We Cannot See","Anthony Doerr","2014.0","Fiction"
"21","Allegiant","Veronica Roth","2013.0","Fiction"
"22","American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History","Chris Kyle","2015.0","Non Fiction"
"23","And the Mountains Echoed","Khaled Hosseini","2013.0","Fiction"
"24","Arguing with Idiots: How to Stop Small Minds and Big Government","Glenn Beck","2009.0","Non Fiction"
"25","Astrophysics for People in a Hurry","Neil deGrasse Tyson","2017.0","Non Fiction"
"26","Autobiography of Mark Twain, Vol. 1","Mark Twain","2010.0","Non Fiction"
"27","Baby Touch and Feel: Animals","DK","2015.0","Non Fiction"
"28","Balance (Angie's Extreme Stress Menders)","Angie Grace","2015.0","Non Fiction"
"29","Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook","Ina Garten","2012.0","Non Fiction"
"30","Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips","Ina Garten","2010.0","Non Fiction"
